LANGUAGE,"English","Czech"
STR_CELO_LOAD_TEXT,"Prepare for revenge","Připrav se na pomstu..."
STR_CELO_MissionName,"Cope´s Revenge 2","Copeho pomsta 2"
STR_CELO_DiaryName,"Cope´s Revenge - chapter two","Copeho pomsta - dějství druhé"
STR_CELO_DiaryDescription,"Only next bloody day. Day for revenge. No one can survive! But for this time, you are not alone!","Můžeš se schovávat, můžeš utíkat, ale osudu neunikneš. Dnes poteče znovu krev... dnes nastane další den pomsty. Nikdo nesmí přežít! Ale tentokrát v tom nejsi sám."
STR_CELO_Task1Name,"Attack all enemies position","Vyčisti nepřátelské pozice"
STR_CELO_Task1Descr1_0,"Attack enemy position","Zaútoč na nepřátelské pozice"
STR_CELO_Task1Descr1_1,"Revenge position","Místo pomsty"
STR_CELO_Task1Descr1_2,"Revenge position","Místo pomsty"
STR_CELO_title1,"Celoush","Celoush",
STR_CELO_title2,"present","uvádí",
STR_CELO_title3,"Cope´s Revenge 2","Copeho pomsta 2"
STR_CELO_title4,"The End","Konec",
STR_CELO_title5,"Maybe","Snad",